shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10106110,-1.17384195328,36.7587786913,1
10106110,-1.17452323437,36.7590254545,2
10106110,-1.17507576942,36.7592668533,3
10106110,-1.17582142353,36.7595350742,4
10106110,-1.17699821177,36.7599820371,5
10106110,-1.17788136005,36.7603182793,6
10106110,-1.178175,36.760429,7
10106110,-1.17910444736,36.7609244585,8
10106110,-1.18100881577,36.7620402575,9
10106110,-1.18178129196,36.7624908686,10
10106110,-1.18258490788,36.7629591287,11
10106110,-1.18385195732,36.763676405,12
10106110,-1.184161,36.763878,13
10106110,-1.184837,36.764484,14
10106110,-1.185179,36.764935,15
10106110,-1.185434,36.765377,16
10106110,-1.18627667427,36.7674422264,17
10106110,-1.186737,36.768581,18
10106110,-1.187342,36.769855,19
10106110,-1.18849217892,36.7716372013,20
10106110,-1.189176,36.772655,21
10106110,-1.18964016438,36.7732304335,22
10106110,-1.190043,36.773678,23
10106110,-1.19068622589,36.7742872238,24
10106110,-1.190884,36.774479,25
10106110,-1.19150161743,36.7751991749,26
10106110,-1.193100214,36.7773503065,27
10106110,-1.19346499443,36.7778867483,28
10106110,-1.19463443756,36.7794263363,29
10106110,-1.195653,36.780815,30
10106110,-1.19716,36.782936,31
10106110,-1.197692,36.783623,32
10106110,-1.198131,36.783997,33
10106110,-1.19899570942,36.7844206095,34
10106110,-1.20093,36.785175,35
10106110,-1.202099,36.7855,36
10106110,-1.20276689529,36.7855095863,37
10106110,-1.2036715,36.7855015,38
10106110,-1.2044942379,36.7855149508,39
10106110,-1.2053579092,36.7854988575,40
10106110,-1.206131,36.785637,41
10106110,-1.206887,36.785931,42
10106110,-1.207128,36.785892,43
10106110,-1.207128,36.785892,44
10106110,-1.20719790459,36.7860031128,45
10106110,-1.207584,36.786648,46
10106110,-1.20882332325,36.7879074812,47
10106110,-1.2099981308,36.7891949415,48
10106110,-1.210475564,36.789688468,49
10106110,-1.21096909046,36.7901873589,50
10106110,-1.21112465858,36.7903536558,51
10106110,-1.212167,36.79147,52
10106110,-1.212546,36.791901,53
10106110,-1.21287882328,36.7923814058,54
10106110,-1.213387,36.793091,55
10106110,-1.214238,36.794483,56
10106110,-1.215298,36.796627,57
10106110,-1.215781,36.798241,58
10106110,-1.21589,36.798466,59
10106110,-1.21641933918,36.7992907763,60
10106110,-1.21748,36.800919,61
10106110,-1.21795,36.801418,62
10106110,-1.218589,36.801762,63
10106110,-1.21869921684,36.8017905951,64
10106110,-1.219152,36.801842,65
10106110,-1.219837,36.801765,66
10106110,-1.22073,36.801464,67
10106110,-1.22092160248,36.8014529539,68
10106110,-1.22111320496,36.8014419079,69
10106110,-1.221495,36.801418,70
10106110,-1.221945,36.801506,71
10106110,-1.22240066528,36.8017047644,72
10106110,-1.222731,36.80196,73
10106110,-1.223314,36.80283,74
10106110,-1.223886,36.803879,75
10106110,-1.224088,36.804077,76
10106110,-1.22453,36.804359,77
10106110,-1.226551,36.805061,78
10106110,-1.227154,36.805038,79
10106110,-1.23006105423,36.8040275574,80
10106110,-1.232281,36.80315,81
10106110,-1.232821,36.803101,82
10106110,-1.233276,36.803177,83
10106110,-1.2340092659,36.8034052849,84
10106110,-1.234813,36.803909,85
10106110,-1.235138,36.804386,86
10106110,-1.237727,36.809437,87
10106110,-1.237996,36.809872,88
10106110,-1.238417,36.810501,89
10106110,-1.239809,36.812305,90
10106110,-1.240624,36.81321,91
10106110,-1.24091,36.8134,92
10106110,-1.241228,36.813534,93
10106110,-1.243693,36.813995,94
10106110,-1.243825,36.814056,95
10106110,-1.244633,36.8148,96
10106110,-1.2468624115,36.8156576157,97
10106110,-1.247561,36.815952,98
10106110,-1.248016,36.816242,99
10106110,-1.248302,36.816509,100
10106110,-1.248473,36.81675,101
10106110,-1.248566,36.817036,102
10106110,-1.248674,36.817688,103
10106110,-1.248972,36.818714,104
10106110,-1.249244,36.820068,105
10106110,-1.249537,36.820942,106
10106110,-1.24971,36.821178,107
10106110,-1.249963,36.82122,108
10106110,-1.250178,36.82103,109
10106110,-1.25049948692,36.8198525906,110
10106110,-1.251459,36.817795,111
10106110,-1.25165,36.817657,112
10106110,-1.251853,36.817677,113
10106110,-1.252021,36.817787,114
10106110,-1.252111,36.818111,115
10106110,-1.252052,36.819401,116
10106110,-1.25213,36.819859,117
10106110,-1.252546,36.820366,118
10106110,-1.253137,36.821369,119
10106110,-1.254578,36.823364,120
10106110,-1.254792,36.823769,121
10106110,-1.25514,36.824978,122
10106110,-1.255678,36.825836,123
10106110,-1.25716209412,36.8265795708,124
10106110,-1.258125,36.827118,125
10106110,-1.258286,36.827156,126
10106110,-1.258543,36.827106,127
10106110,-1.2594473362,36.8267405033,128
10106110,-1.26096010208,36.826043129,129
10106110,-1.2618425,36.825624,130
10106110,-1.26320242882,36.8250346184,131
10106110,-1.26421093941,36.8246269226,132
10106110,-1.26527309418,36.8239724636,133
10106110,-1.26642644405,36.823194623,134
10106110,-1.267004,36.82283,135
10106110,-1.26716,36.822674,136
10106110,-1.268097,36.821331,137
10106110,-1.268899441,36.82067871,138
10106110,-1.269650459,36.82049632,139
10106110,-1.26996696,36.82051241,140
10106110,-1.270321012,36.8205446,141
10106110,-1.271050572,36.82129025,142
10106110,-1.271393895,36.82174087,143
10106110,-1.271721125,36.822052,144
10106110,-1.272118092,36.82233095,145
10106110,-1.272622347,36.8226099,146
10106110,-1.273115873,36.82288885,147
10106110,-1.273394823,36.82315707,148
10106110,-1.273598671,36.82340384,149
10106110,-1.273716688,36.82358086,150
10106110,-1.273872256,36.82366669,151
10106110,-1.274011731,36.82337165,152
10106110,-1.273818612,36.82307124,153
10106110,-1.273711324,36.82273865,154
10106110,-1.273587942,36.82234704,155
10106110,-1.273308992,36.82196081,156
10106110,-1.27309978,36.82168186,157
10106110,-1.272863746,36.82142973,158
10106110,-1.272563338,36.82107031,159
